 Cycle Period  Scenario      SoldDA      SoldRT
   190      1         1        0.00        0.00
   190      1         2        0.00        0.00
   190      1         3        0.00        0.00
   190      1         4        0.00        0.00
   190      1         5        0.00        0.00
   190      1         6        0.00        0.00
   190      1         7        0.00        0.00
   190      1         8        0.00        0.00
   190      1         9        0.00        0.00
   190      1        10        0.00        0.00
   190      2         1        0.00        0.00
   190      2         2        0.00        0.00
   190      2         3        0.00        0.00
   190      2         4        0.00        0.00
   190      2         5        0.00        0.00
   190      2         6        0.00        0.00
   190      2         7        0.00        0.00
   190      2         8        0.00        0.00
   190      2         9        0.00        0.00
   190      2        10        0.00        0.00
   190      3         1        0.00        0.00
   190      3         2        0.00        0.00
   190      3         3        0.00        0.00
   190      3         4        0.00        0.00
   190      3         5        0.00        0.00
   190      3         6        0.00        0.00
   190      3         7        0.00        0.00
   190      3         8        0.00        0.00
   190      3         9        0.00        0.00
   190      3        10        0.00        0.00
   190      4         1        0.00        0.00
   190      4         2        0.00        0.00
   190      4         3        0.00        0.00
   190      4         4        0.00        0.00
   190      4         5        0.00        0.00
   190      4         6        0.00        0.00
   190      4         7        0.00        0.00
   190      4         8        0.00        0.00
   190      4         9        0.00        0.00
   190      4        10        0.00        0.00
   190      5         1        0.00        0.00
   190      5         2        0.00        0.00
   190      5         3        0.00        0.00
   190      5         4        0.00        0.00
   190      5         5        0.00        0.00
   190      5         6        0.00        0.00
   190      5         7        0.00        0.00
   190      5         8        0.00        0.00
   190      5         9        0.00        0.00
   190      5        10        0.00        0.00
   190      6         1        0.00        0.00
   190      6         2        0.00        0.00
   190      6         3        0.00        0.00
   190      6         4        0.00        0.00
   190      6         5        0.00        0.00
   190      6         6        0.00        0.00
   190      6         7        0.00        0.00
   190      6         8        0.00        0.00
   190      6         9        0.00        0.00
   190      6        10        0.00        0.00
   190      7         1        0.00        0.00
   190      7         2        0.00        0.00
   190      7         3        0.00        0.00
   190      7         4        0.00        0.00
   190      7         5        0.00        0.00
   190      7         6        0.00        0.00
   190      7         7        0.00        0.00
   190      7         8        0.00        0.00
   190      7         9        0.00        0.00
   190      7        10        0.00        0.00
   190      8         1        0.00        0.00
   190      8         2        0.00        0.00
   190      8         3        0.00        0.00
   190      8         4        0.00        0.00
   190      8         5        0.00        0.00
   190      8         6        0.00        0.00
   190      8         7        0.00        0.00
   190      8         8        0.00        0.00
   190      8         9        0.00        0.00
   190      8        10        0.00        0.00
   190      9         1        0.00        0.00
   190      9         2        0.00        0.00
   190      9         3        0.00        0.00
   190      9         4        0.00        0.00
   190      9         5        0.00        0.00
   190      9         6        0.00        0.00
   190      9         7        0.00        0.00
   190      9         8        0.00        0.00
   190      9         9        0.00        0.00
   190      9        10        0.00        0.00
   190     10         1        0.00        1.94
   190     10         2        1.94        0.00
   190     10         3        1.91        0.00
   190     10         4        0.00        0.00
   190     10         5        1.94        0.00
   190     10         6        0.00        0.00
   190     10         7        1.94        0.00
   190     10         8        0.26        1.68
   190     10         9        1.89        0.00
   190     10        10        1.24        0.70
   190     11         1        0.21        1.33
   190     11         2        1.04        0.00
   190     11         3        1.55        0.00
   190     11         4        1.56        0.00
   190     11         5        1.54        0.00
   190     11         6        1.56        0.00
   190     11         7        0.30        0.00
   190     11         8        0.10        0.73
   190     11         9        0.00        0.60
   190     11        10        0.90        0.65
   190     12         1        0.00        1.13
   190     12         2        1.29        0.00
   190     12         3        1.14        0.00
   190     12         4        0.09        1.79
   190     12         5        0.92        0.21
   190     12         6        0.00        1.88
   190     12         7        0.00        1.58
   190     12         8        1.36        0.00
   190     12         9        0.74        0.71
   190     12        10        1.10        0.04
   190     13         1        0.07        0.66
   190     13         2        0.82        0.04
   190     13         3        0.08        0.66
   190     13         4        0.00        1.32
   190     13         5        0.55        0.18
   190     13         6        1.32        0.00
   190     13         7        0.26        0.82
   190     13         8        0.00        0.91
   190     13         9        0.98        0.00
   190     13        10        0.00        0.73
   198      1         1        0.00        0.00
   198      1         2        0.00        0.00
   198      1         3        0.00        0.00
   198      1         4        0.00        0.00
   198      1         5        0.00        0.00
   198      1         6        0.00        0.00
   198      1         7        0.00        0.00
   198      1         8        0.00        0.00
   198      1         9        0.00        0.00
   198      1        10        0.00        0.00
   198      2         1        0.00        0.00
   198      2         2        0.00        0.00
   198      2         3        0.00        0.00
   198      2         4        0.00        0.00
   198      2         5        0.00        0.00
   198      2         6        0.00        0.00
   198      2         7        0.00        0.00
   198      2         8        0.00        0.00
   198      2         9        0.00        0.00
   198      2        10        0.00        0.00
